category,condition_grade,return_reason,original_price,inbound_shipping_cost,final_decision,hazardous_goods_flag,co2_saved_refurb_vs_landfill,profit
Electronics,D,02_changed_mind,3320,165,liquidate,0,0.0,-1170
Apparel,B,02_changed_mind,28540,304,keep_it,0,0.0,98
Electronics,A,02_changed_mind,8296,79,keep_it,0,0.0,86
Apparel,A,01_defective,29213,68,refurbish,0,4.663934863054392,5492
Kitchen,C,02_changed_mind,27506,239,liquidate,0,0.0,34
Electronics,D,01_defective,20735,380,refurbish,0,3.324960167764437,3200
Beauty,D,03_damaged_shipping,17187,93,liquidate,0,0.0,-493
Beauty,A,02_changed_mind,2956,159,liquidate,0,0.0,-819
Electronics,B,03_damaged_shipping,29983,70,liquidate,0,0.0,908
Beauty,C,02_changed_mind,11216,244,keep_it,0,0.0,11
Electronics,A,02_changed_mind,29835,220,liquidate,0,0.0,812
Apparel,C,02_changed_mind,29404,236,keep_it,0,0.0,54
Beauty,B,03_damaged_shipping,17607,472,liquidate,0,0.0,-1055
Apparel,B,02_changed_mind,21184,285,liquidate,0,0.0,945
Kitchen,B,01_defective,20454,105,refurbish,0,4.093405023859315,14364
Electronics,D,01_defective,12949,309,recycle,1,0.0,-1770
Kitchen,C,03_damaged_shipping,22417,480,liquidate,0,0.0,-1232
Electronics,A,03_damaged_shipping,26092,110,recycle,1,0.0,-3013
Apparel,A,03_damaged_shipping,2848,421,recycle,1,0.0,163
Electronics,A,01_defective,28794,181,refurbish,0,3.0265684120839897,15928
Apparel,B,01_defective,22326,327,refurbish,0,4.657865041797168,11650
Kitchen,B,02_changed_mind,3953,320,keep_it,0,0.0,78
Kitchen,B,03_damaged_shipping,10053,256,recycle,1,0.0,-4773
Beauty,C,01_defective,15898,57,recycle,1,0.0,-4224
Beauty,C,02_changed_mind,14621,113,liquidate,0,0.0,-1934
Kitchen,B,02_changed_mind,27353,107,keep_it,0,0.0,87
Kitchen,B,03_damaged_shipping,9407,412,recycle,1,0.0,-4458
Beauty,C,02_changed_mind,1597,272,keep_it,0,0.0,39
Beauty,B,03_damaged_shipping,20886,446,liquidate,0,0.0,783
Apparel,B,03_damaged_shipping,4747,331,liquidate,0,0.0,-934
Electronics,B,02_changed_mind,23691,239,keep_it,0,0.0,82
Beauty,A,03_damaged_shipping,29793,331,liquidate,0,0.0,122
Electronics,B,02_changed_mind,27273,323,keep_it,0,0.0,62
Apparel,A,03_damaged_shipping,22532,275,liquidate,0,0.0,414
Kitchen,A,02_changed_mind,16378,302,keep_it,0,0.0,27
Electronics,A,02_changed_mind,11595,158,liquidate,0,0.0,-320
Apparel,D,02_changed_mind,7318,147,liquidate,0,0.0,1152
Beauty,B,01_defective,3994,333,refurbish,0,3.728638986294589,12375
Kitchen,B,02_changed_mind,18379,142,liquidate,0,0.0,1111
Electronics,C,01_defective,9452,481,refurbish,0,1.9717481092870979,12971
Electronics,B,03_damaged_shipping,9538,199,recycle,1,0.0,-4293
Electronics,B,02_changed_mind,13921,345,liquidate,0,0.0,-766
Kitchen,D,02_changed_mind,15343,285,keep_it,0,0.0,53
Apparel,B,01_defective,19864,248,refurbish,0,1.5094306710897722,13116
Apparel,A,02_changed_mind,18102,83,liquidate,0,0.0,-1089
Kitchen,A,03_damaged_shipping,29114,422,liquidate,0,0.0,-695
Electronics,C,02_changed_mind,29769,140,liquidate,0,0.0,-318
Apparel,A,01_defective,20313,153,refurbish,0,3.1545169767752133,2349
Beauty,C,03_damaged_shipping,15885,84,liquidate,0,0.0,-1276
Kitchen,C,03_damaged_shipping,2418,242,liquidate,0,0.0,-105
Beauty,B,04_incorrect_item,26857,142,liquidate,0,0.0,1026
Beauty,B,03_damaged_shipping,16227,361,liquidate,0,0.0,241
Kitchen,C,02_changed_mind,2843,464,keep_it,0,0.0,37
Apparel,D,02_changed_mind,21863,68,keep_it,0,0.0,74
Electronics,D,04_incorrect_item,11749,327,liquidate,0,0.0,-367
Beauty,A,02_changed_mind,5374,403,liquidate,0,0.0,358
Apparel,B,02_changed_mind,6927,160,liquidate,0,0.0,-1318
Kitchen,B,04_incorrect_item,12749,388,donate,0,7.324237313603662,76
Beauty,D,03_damaged_shipping,1696,51,liquidate,0,0.0,-251
Kitchen,C,02_changed_mind,27519,282,liquidate,0,0.0,709
Apparel,B,03_damaged_shipping,12333,129,liquidate,0,0.0,-469
Beauty,A,01_defective,20281,127,refurbish,0,4.559578313833207,4647
Kitchen,B,02_changed_mind,23886,142,liquidate,0,0.0,983
Kitchen,B,02_changed_mind,20888,380,liquidate,0,0.0,-1640
Apparel,B,02_changed_mind,11249,415,liquidate,0,0.0,735
Kitchen,D,02_changed_mind,18061,121,liquidate,0,0.0,-1252
Electronics,C,01_defective,23628,83,recycle,1,0.0,-1314
Beauty,B,02_changed_mind,3253,206,keep_it,0,0.0,40
Kitchen,A,03_damaged_shipping,14773,482,recycle,1,0.0,-4276
Apparel,B,02_changed_mind,14972,132,keep_it,0,0.0,70
Beauty,A,03_damaged_shipping,13614,178,liquidate,0,0.0,-1140
Beauty,A,04_incorrect_item,16277,344,donate,0,7.488450895248823,129
Apparel,B,02_changed_mind,17915,248,liquidate,0,0.0,490
Kitchen,B,02_changed_mind,24965,469,keep_it,0,0.0,15
Kitchen,A,02_changed_mind,18276,416,keep_it,0,0.0,30
Beauty,A,04_incorrect_item,28977,353,liquidate,0,0.0,486
Electronics,B,01_defective,7480,169,refurbish,0,4.520452594052828,13953
Kitchen,A,02_changed_mind,12756,468,liquidate,0,0.0,-1546
Apparel,B,02_changed_mind,28054,220,liquidate,0,0.0,-1742
Kitchen,B,03_damaged_shipping,17060,261,liquidate,0,0.0,-1387
Electronics,A,01_defective,26899,494,refurbish,0,4.73451011098388,10979
Kitchen,B,02_changed_mind,14110,466,liquidate,0,0.0,-1227
Apparel,A,02_changed_mind,29271,292,liquidate,0,0.0,-1427
Apparel,A,02_changed_mind,2319,192,liquidate,0,0.0,930
Kitchen,D,01_defective,10198,342,recycle,1,0.0,-2077
Beauty,B,02_changed_mind,4552,182,liquidate,0,0.0,540
Apparel,B,02_changed_mind,12386,274,liquidate,0,0.0,-68
Kitchen,C,02_changed_mind,17129,431,keep_it,0,0.0,45
Beauty,D,02_changed_mind,3359,304,keep_it,0,0.0,20
Kitchen,D,03_damaged_shipping,11025,399,recycle,1,0.0,-2686
Apparel,A,02_changed_mind,1291,369,liquidate,0,0.0,-1422
Beauty,D,01_defective,6777,240,refurbish,0,2.932448653999669,7992
Kitchen,B,02_changed_mind,19589,59,keep_it,0,0.0,75
Electronics,B,02_changed_mind,12135,390,liquidate,0,0.0,114
Apparel,A,04_incorrect_item,2055,121,liquidate,0,0.0,-325
Apparel,B,02_changed_mind,16841,428,keep_it,0,0.0,78
Electronics,D,02_changed_mind,15341,367,keep_it,0,0.0,95
Beauty,C,01_defective,6278,189,refurbish,0,2.8818467798083742,5369
Electronics,B,02_changed_mind,18635,143,keep_it,0,0.0,99
Electronics,A,01_defective,1196,301,recycle,1,0.0,-227
Kitchen,B,02_changed_mind,6125,210,liquidate,0,0.0,-1640
Electronics,B,02_changed_mind,23732,464,liquidate,0,0.0,-24
Kitchen,B,02_changed_mind,9504,494,keep_it,0,0.0,12
Apparel,B,04_incorrect_item,8363,223,liquidate,0,0.0,1022
Beauty,B,03_damaged_shipping,561,254,liquidate,0,0.0,1101
Apparel,A,04_incorrect_item,2935,105,liquidate,0,0.0,-1810
Kitchen,B,04_incorrect_item,6957,234,donate,0,4.649682441431429,2
Apparel,B,01_defective,1721,295,refurbish,0,3.1326492824514722,2589
