sku_id,category,original_price,condition_grade,return_reason_code,estimated_refurb_cost,resale_value_estimated,inbound_shipping_cost,hazardous_goods_flag,co2_saved_refurb_vs_landfill,final_decision,customer_latitude,customer_longitude
PRD-0,Apparel,17577,A,01,1151,13588,320,No,4.136503699830183,liquidate,36.17597279725665,78.11183788047448
PRD-1,Kitchen,2481,C,04,4053,4363,53,No,1.3363267510179735,recycle,26.77919301088034,82.13455250667064
PRD-2,Apparel,5870,B,01,4323,7375,296,No,0.505315822239393,donate,26.272797146486333,92.0564683584239
PRD-3,Electronics,5080,C,03,3200,8009,314,No,3.6117635933497976,refurbish,19.11321455380368,81.7182314954768
PRD-4,Electronics,8165,D,03,161,13903,182,No,0.19387094162090307,donate,27.43008569975261,70.04363524687615
PRD-5,Kitchen,6123,B,02,2086,17823,280,No,3.447030727631588,refurbish,11.23850659277281,94.1194399210834
PRD-6,Electronics,4723,C,02,1319,9266,213,No,4.131869214650705,liquidate,14.06018003138312,78.77438035076267
PRD-7,Apparel,13810,C,04,2703,22251,262,No,4.463910312857625,recycle,13.59183458488895,85.55600693668363
PRD-8,Kitchen,19569,C,02,3898,11500,334,Yes,0.2967995901072984,recycle,25.22861550871846,71.14655291242082
PRD-9,Electronics,5716,D,03,2304,2561,361,No,4.982572115806273,refurbish,26.97600874805712,75.03226275347578
PRD-10,Electronics,3276,D,04,3563,8655,493,No,2.5827174594206186,recycle,10.006954407895014,91.19896090787125
PRD-11,Apparel,21320,B,02,1085,19690,274,No,2.4928788799914847,donate,19.46492038069736,70.5098101836951
PRD-12,Electronics,17410,D,04,2175,6523,170,No,1.9305612435945552,liquidate,31.248115722283597,85.04471069676013
PRD-13,Apparel,14981,A,02,1357,24950,290,No,3.865961378652935,refurbish,9.348402647008156,83.79263722670014
PRD-14,Beauty,5601,D,03,1353,5951,33,No,0.1602737872990455,refurbish,28.15586276344233,74.92967408417837
PRD-15,Beauty,6827,C,02,3829,1149,252,No,1.3290257253151434,refurbish,29.275733837306337,86.64416998251743
PRD-16,Beauty,22494,A,04,3919,23367,102,No,0.3732470900464743,refurbish,16.612630265240526,78.81649684112107
PRD-17,Kitchen,4864,D,02,1253,10824,252,Yes,2.3551056027840644,recycle,23.993880875905766,93.84209753748296
PRD-18,Apparel,1160,A,04,1175,6348,429,No,1.9477143346264407,donate,10.144818914573,72.03961336246267
PRD-19,Beauty,14289,A,04,2648,8480,310,Yes,1.3278247361686053,liquidate,14.027638534763206,68.51125924840787
PRD-20,Kitchen,3433,D,03,1369,9350,247,Yes,0.7161056039884842,keep_it,25.286964119658663,86.99666092053236
PRD-21,Electronics,22501,A,02,3221,24843,448,No,4.542153603554375,keep_it,26.602677762175567,86.47415150599463
PRD-22,Apparel,6523,B,01,3856,10819,377,Yes,2.8016812154398534,keep_it,17.98709854242723,80.95005042049812
PRD-23,Electronics,11390,B,03,4981,8251,300,Yes,0.874530325955595,recycle,18.390492488605403,80.28356050349078
PRD-24,Beauty,18918,C,02,3145,16177,416,No,2.7556470872632954,donate,23.23286854738233,77.93046722233761
PRD-25,Kitchen,11330,C,01,827,1002,399,Yes,3.7000287042836826,refurbish,23.614769736895273,76.78026492724787
PRD-26,Apparel,15192,A,04,4513,1596,420,No,4.598585384578335,donate,25.681069081123574,82.92641601579034
PRD-27,Kitchen,18883,C,04,4429,5619,430,No,2.036907606945437,refurbish,30.749355477707688,72.08089973360185
PRD-28,Apparel,26796,C,03,2427,22677,424,No,4.857990039266419,refurbish,9.018988162567048,89.39742740838328
PRD-29,Kitchen,8912,A,03,454,9572,454,Yes,2.334596485192551,liquidate,25.908633800189186,87.36661693288929
PRD-30,Kitchen,13630,B,02,4056,16133,47,No,3.0347178368428716,refurbish,17.54860459166256,91.90201139268297
PRD-31,Beauty,6403,C,02,2409,3611,417,No,1.9718410479754513,liquidate,24.12401964658401,92.74135124789049
PRD-32,Beauty,24532,A,01,1774,12247,224,No,4.992613256060435,liquidate,24.180883872504225,79.35286825924105
PRD-33,Kitchen,18421,B,04,1394,17473,237,Yes,3.76977738072753,donate,31.577744897809904,92.45409804474734
PRD-34,Electronics,18531,A,04,1654,8819,92,No,1.36341364901398,liquidate,12.152217991015547,70.92298129261206
PRD-35,Beauty,14884,C,01,1066,5874,437,No,0.2674348873905362,recycle,30.39770225198436,72.55498345789779
PRD-36,Apparel,12197,B,03,1307,4446,132,No,3.7724149443762958,keep_it,13.635707825261072,81.39580331750312
PRD-37,Electronics,20538,C,02,4927,21740,395,No,2.6560001273842233,donate,31.246336016860422,95.51533395169898
PRD-38,Beauty,3764,C,01,2562,11080,26,Yes,0.8469939260985411,refurbish,10.649937956672906,84.8768873997983
PRD-39,Electronics,6699,D,02,2528,21999,93,No,1.013776914066024,refurbish,33.02633371413603,79.91475090274017
PRD-40,Beauty,6651,A,04,1064,21577,256,Yes,4.477360479519781,recycle,34.11257267239099,92.96978444967876
PRD-41,Electronics,26703,D,04,3612,18338,333,No,4.011796186006918,keep_it,35.84929345469342,73.51141102597666
PRD-42,Electronics,21397,B,01,764,14121,462,Yes,3.125016759059343,refurbish,20.331524182726813,96.26441718851972
PRD-43,Apparel,19287,D,02,1675,865,386,No,1.9145374724845803,keep_it,27.2192822853201,87.76183774568705
PRD-44,Electronics,779,D,02,1551,16701,435,Yes,0.41326630111923146,donate,29.631161653453404,85.69971634293572
PRD-45,Electronics,12561,B,01,2387,19970,70,No,2.9832036570865057,liquidate,14.944446031713007,75.03453789652116
PRD-46,Kitchen,27540,B,04,2716,14169,34,Yes,0.9546135827125931,liquidate,8.714194271918846,69.43698524129685
PRD-47,Beauty,21500,D,03,1004,24961,118,No,1.14550042435318,donate,24.19975690258798,95.62054190334237
PRD-48,Beauty,21140,A,03,2711,4518,347,Yes,0.6938810335702962,donate,33.00953136187967,95.41133987830234
PRD-49,Beauty,22104,B,02,3114,22808,243,Yes,2.0328184976815202,donate,22.76360020246559,68.93140960456424
PRD-50,Beauty,1678,C,04,4232,14248,308,No,2.671777926236661,donate,31.753974466801587,77.72298194335488
PRD-51,Beauty,28765,B,04,470,17414,42,No,2.203948410518842,refurbish,11.80959103456787,89.90021350257649
PRD-52,Kitchen,11032,D,03,950,20305,99,Yes,2.1209629174950537,keep_it,12.269844350347226,88.28929342379578
PRD-53,Beauty,1883,A,04,2694,19727,353,No,4.078710670221326,recycle,23.545171482199265,91.04762814370602
PRD-54,Apparel,10490,B,04,3179,1923,241,Yes,3.5913212721271894,recycle,10.590839807644782,69.79441608714981
PRD-55,Apparel,18409,D,03,2982,14449,210,Yes,1.7717095858570227,donate,32.38315135974065,79.39091694679082
PRD-56,Beauty,5578,D,03,152,18993,94,No,0.3623009557555106,keep_it,20.65765088420755,70.92891742451069
PRD-57,Kitchen,23317,A,01,2892,21022,41,Yes,1.1818484347614018,keep_it,25.536150460896,80.37637992888637
PRD-58,Electronics,17902,B,01,2800,24816,191,No,1.6435917912485316,liquidate,36.14773897661433,80.01090847120811
PRD-59,Kitchen,16560,C,01,300,11483,278,Yes,3.1740807734178746,liquidate,17.880191131529735,81.24698686297216
PRD-60,Kitchen,7265,B,01,4396,1642,53,Yes,3.7214656623946185,liquidate,17.251072384852257,76.36698901626636
PRD-61,Apparel,7126,D,01,191,11673,351,Yes,2.718533196976563,recycle,27.852091319188165,83.03804626762224
PRD-62,Beauty,21932,D,01,4349,3316,68,Yes,4.018251461578823,refurbish,23.473635871863948,75.7022329151282
PRD-63,Beauty,3426,D,04,3854,11652,223,Yes,3.2482070786695125,donate,26.435020510055217,79.44750139029655
PRD-64,Beauty,6103,A,02,1320,12570,357,Yes,3.54218504472999,keep_it,32.481040680721165,86.1969275290889
PRD-65,Apparel,23983,C,01,2569,6856,251,Yes,1.7750786794651046,donate,30.801051171098123,95.81793924246315
PRD-66,Apparel,11622,A,01,4129,7781,68,No,2.8976195759629997,recycle,9.187778927365688,74.78139368694801
PRD-67,Kitchen,2749,A,03,4904,15751,333,No,0.16428435945766612,recycle,33.9320379296864,86.411848533454
PRD-68,Kitchen,25245,D,01,4318,18909,473,Yes,4.24933601764309,refurbish,35.4085735108776,79.50972834856057
PRD-69,Beauty,24533,B,01,2899,16483,347,Yes,2.1360476552164576,donate,23.362994633123623,78.20853110336616
PRD-70,Electronics,8834,D,02,1870,23566,142,No,1.4614445626454886,donate,31.75634241586236,81.08581634426453
PRD-71,Beauty,26596,C,03,4959,1330,247,No,2.2427259227862724,refurbish,14.40239889357923,86.7289477938667
PRD-72,Apparel,8505,D,02,250,21140,164,No,0.7466729340720905,liquidate,15.665866773871368,83.32293754258819
PRD-73,Electronics,3574,D,03,4424,596,413,Yes,1.7820691814127323,liquidate,18.995866460848752,89.15432214549348
PRD-74,Apparel,7230,A,03,1585,17725,47,No,1.71910459082896,donate,12.959948777758562,85.67597857912929
PRD-75,Apparel,24527,C,04,3252,18543,448,No,4.451253107556832,keep_it,33.40591262264675,78.63375949370348
PRD-76,Kitchen,15524,B,01,2233,15096,306,Yes,2.3577895398564372,liquidate,28.9010125394526,73.56409912379088
PRD-77,Apparel,28151,A,02,218,10386,258,No,3.587708617163652,keep_it,30.63483163887392,71.95115886936728
PRD-78,Beauty,25472,A,04,543,9657,304,Yes,4.427546862531161,refurbish,22.044357846996768,79.40580868510946
PRD-79,Apparel,12591,B,02,4161,13438,360,No,3.280103865183409,recycle,28.562798533398762,96.49780012125905
PRD-80,Beauty,28365,C,03,2389,12041,99,No,2.396792256839124,liquidate,28.96911047141011,88.3090793442897
PRD-81,Electronics,14967,D,01,3742,20767,214,No,0.894922719856979,refurbish,17.341902816254482,94.71811021781723
PRD-82,Beauty,19516,C,03,716,7306,381,No,4.809226440831672,keep_it,14.347558368420849,69.22391251811626
PRD-83,Kitchen,989,B,03,860,16230,451,No,4.353121806256719,keep_it,29.273363821062308,86.25616803421804
PRD-84,Kitchen,20487,C,03,4052,6629,266,No,2.8822737829722325,recycle,36.79554667594003,91.88510058091802
PRD-85,Kitchen,5760,C,04,4299,11295,218,Yes,1.2922913366107225,recycle,30.623856956123685,91.24288393304643
PRD-86,Kitchen,8914,C,04,1486,9173,105,No,2.399598350283726,recycle,35.57114375140813,93.6936493352314
PRD-87,Kitchen,22339,C,01,3622,12659,240,Yes,1.5202370890769612,donate,12.679342022116996,73.0209640347397
PRD-88,Kitchen,26370,B,04,4732,5787,470,No,0.844884808058895,donate,34.190804655895036,68.65222563111865
PRD-89,Kitchen,12735,A,01,4726,4528,286,Yes,1.6828766673591664,refurbish,15.898955800045389,86.71697615513726
PRD-90,Apparel,3726,B,04,111,12978,90,Yes,0.9100405130142512,refurbish,13.115150352906966,72.96224875750164
PRD-91,Apparel,17621,D,03,494,6473,436,Yes,0.20436487526899944,refurbish,22.726092668949835,83.74201027563349
PRD-92,Apparel,22808,C,03,2725,14271,301,Yes,0.6860195877246634,recycle,30.632189824490638,85.43536884822275
PRD-93,Apparel,17327,C,02,4679,24438,289,Yes,1.7115001699820143,keep_it,27.108599360385345,72.55070499585496
PRD-94,Apparel,17601,A,04,4345,18098,338,Yes,4.48028346854648,donate,12.168104221492793,88.21991843460371
PRD-95,Kitchen,4221,C,03,1591,2513,299,Yes,3.9945831725467045,recycle,26.078257245388038,96.58600849500428
PRD-96,Electronics,7473,A,03,1390,12203,281,No,3.3436617440000274,recycle,34.33969563986524,94.48890176667307
PRD-97,Beauty,22975,D,02,2237,17368,31,Yes,3.395361369356952,liquidate,20.780601167733145,80.32010917872284
PRD-98,Beauty,23982,C,04,2930,4537,200,Yes,0.1615904138098141,refurbish,11.393629930132395,78.09384122904757
PRD-99,Beauty,27723,B,01,1792,16127,248,Yes,4.1511077289530744,keep_it,10.467526355723958,71.3628693651984
PRD-100,Kitchen,23504,D,04,1780,7537,192,No,2.1386717321865882,refurbish,14.188818761532929,87.88735728425603
PRD-101,Electronics,8221,A,02,3973,3821,239,No,3.012785476521433,refurbish,15.230740161675387,78.64416852907954
PRD-102,Beauty,21141,C,02,1035,4079,171,Yes,4.0963884733057165,keep_it,20.015618901073893,85.00713972733092
PRD-103,Beauty,2631,A,02,2614,24472,44,No,0.48168305009806356,keep_it,31.518788367445577,77.6093547078579
PRD-104,Beauty,9166,A,03,3132,23348,474,No,1.3894343498117807,recycle,21.925678562749145,78.74845749012361
PRD-105,Apparel,6611,D,01,787,17364,298,Yes,4.233839589061309,liquidate,17.675807988646834,73.72532597283366
PRD-106,Kitchen,17492,D,01,1505,19202,249,No,1.4394564646105936,donate,34.960141261910906,90.33659195267379
PRD-107,Beauty,1014,D,04,3506,10515,491,Yes,1.8757823379022274,liquidate,34.2220522770873,85.8195675548892
PRD-108,Beauty,7877,C,02,4002,8141,143,No,0.8024671430404188,recycle,28.973242388850846,96.9641791098265
PRD-109,Electronics,22376,B,04,1887,7729,209,No,0.5581287197880469,refurbish,23.709636592846678,89.87824325949143
PRD-110,Apparel,10129,B,02,3122,3137,232,No,4.627834160138091,refurbish,25.508961448552622,90.09350506998042
PRD-111,Beauty,7036,A,01,1468,20355,146,No,2.547520531678791,keep_it,31.127338929911417,73.63693995036283
PRD-112,Apparel,23058,D,03,4925,22245,379,Yes,3.9957987373129558,donate,17.87394768058842,77.40180330771845
